session_id,timestamp,screen_x,screen_y
0a15c0c4,1739074942.09747,1147,270
0a15c0c4,1739074942.236512,499,628
0a15c0c4,1739074942.27331,499,628
0a15c0c4,1739074942.3472772,237,628
0a15c0c4,1739074942.393056,237,628
0a15c0c4,1739074942.425793,237,628
0a15c0c4,1739074942.459336,237,628
0a15c0c4,1739074942.493428,237,628
0a15c0c4,1739074942.540607,237,628
0a15c0c4,1739074942.592343,237,578
0a15c0c4,1739074942.627383,131,578
0a15c0c4,1739074942.6620219,131,578
0a15c0c4,1739074942.6995041,175,578
0a15c0c4,1739074942.7305942,175,578
0a15c0c4,1739074942.765536,131,578
0a15c0c4,1739074942.799244,117,578
0a15c0c4,1739074942.832847,117,578
0a15c0c4,1739074942.864373,117,578
0a15c0c4,1739074942.897053,117,578
0a15c0c4,1739074942.932222,117,578
0a15c0c4,1739074942.970735,117,578
0a15c0c4,1739074943.00004,117,578
0a15c0c4,1739074943.030879,117,578
0a15c0c4,1739074943.0640378,117,578
0a15c0c4,1739074943.095639,117,578
0a15c0c4,1739074943.127805,117,578
0a15c0c4,1739074943.160937,117,578
0a15c0c4,1739074943.194572,117,578
0a15c0c4,1739074943.231135,117,578
0a15c0c4,1739074943.277199,117,578
0a15c0c4,1739074943.333159,117,578
0a15c0c4,1739074943.385334,117,578
0a15c0c4,1739074943.434013,117,578
0a15c0c4,1739074943.466197,117,578
0a15c0c4,1739074943.499451,117,578
0a15c0c4,1739074943.5418282,117,578
0a15c0c4,1739074943.5665169,117,578
0a15c0c4,1739074943.5994089,117,578
0a15c0c4,1739074943.6322281,117,578
0a15c0c4,1739074943.6664839,117,578
0a15c0c4,1739074943.701455,117,578
0a15c0c4,1739074943.733242,117,578
0a15c0c4,1739074943.7701209,117,578
0a15c0c4,1739074943.797473,117,578
0a15c0c4,1739074943.830611,117,578
0a15c0c4,1739074943.866163,117,578
0a15c0c4,1739074943.9010508,117,578
0a15c0c4,1739074943.933563,117,578
0a15c0c4,1739074943.967621,117,578
0a15c0c4,1739074944.005263,117,578
0a15c0c4,1739074944.034807,117,578
0a15c0c4,1739074944.067279,117,578
0a15c0c4,1739074944.098537,175,578
0a15c0c4,1739074944.1377861,117,578
0a15c0c4,1739074944.166137,175,578
0a15c0c4,1739074944.200753,117,578
0a15c0c4,1739074944.23664,175,477
0a15c0c4,1739074944.268828,117,477
0a15c0c4,1739074944.301187,117,477
0a15c0c4,1739074944.3348129,10,475
0a15c0c4,1739074944.368971,10,388
0a15c0c4,1739074944.418416,27,388
0a15c0c4,1739074944.4647958,31,142
